x, y
8.000000000000000000e+00,1.958999999999999631e-01
1.000000000000000000e+01,2.088999999999998636e-01
1.100000000000000000e+01,2.198999999999999844e-01
1.200000000000000000e+01,2.097999999999999865e-01
